z,n,a,qBminus2n,B2,E2plus,Sn,q2Bminus,qEC,halflife,S2n,Sp,dqA,q2EC,qBminusn,qBminus,S2p,qECp,qBplus,qA
1,0,1,,,,,,-782.347,STABLE,,0.0,,,,,,,-1804.3448,
1,1,2,,,,2224.5662,,,STABLE,,2224.5662,,,,,,,,
1,2,3,,,,6257.2301,-13717.0,,388855902.96000004,8481.7963,,,,,18.59202,,,,
1,3,4,,,,-1600.0,-702.0609,,1.5038099999999997e-21,4657.23,,,,1618.5921,22196.2131,,,,
1,4,5,1818.5920000000008,,,-200.0,21213.5602,,2.41521e-21,-1800.0001,,,,22396.2132,21661.2131,,,,
1,5,6,23308.17301,,,-911.9594,27788.8441,,6.8355e-22,-1111.9594,,,,22573.1725,24283.6294,,,,
1,6,7,21761.129880000004,,,812.0,34228.0,,8.202599999999999e-23,-100.0,,,,23472.0,23062.0,,,,
2,1,3,,,,,,-18.59202,STABLE,,5493.4751,,,,-13736.0,7718.0413,,-1040.58982,
2,2,4,,,27420.0,20577.6211,,-22196.2131,STABLE,,19813.8661,45.91995,,-34313.0,-22898.274,,,-23218.2109,0.0
2,3,5,-33578.40212,,,-735.0,-25907.0,-21661.2131,3.276483e-16,19842.621,20678.8661,-1521.34945,,-22163.274,-447.6529,,,-22683.2109,735.0
2,4,6,-23873.73112,,1797.0,1710.4569,-782.9387,-24283.6294,0.8071200000000001,975.4569,22589.323,,,-2158.1098,3505.2147,,,-25305.627200000003,
2,5,7,-1748.3951199999992,,,-409.7143,10304.1299,-23062.0,8.88615e-17,1300.7426,23091.5681,,,3914.929,11166.0229,,,-24083.9978,
2,6,8,1380.1664400000009,,3100.0,2534.7627,26668.0112,,0.11900000000000001,2125.0484,24814.0,,,8631.2602,10663.8784,,,,
2,7,9,9886.08525,,,-1254.8254,29587.3755,,8.2026e-17,1279.9373,,,,11918.7038,15980.9213,,,,
2,8,10,12108.705879999998,,3240.0,-190.0023,36589.6601,,8.202599999999999e-22,-1444.8277,,,,16170.9236,16144.5191,,,,
3,0,3,,,,,,13736.0,,,,,13717.0,,,-6800.0,8242.0,12714.0022,
3,1,4,,,,11415.0,,22898.274,2.2784999999999998e-21,,-3102.9999,,702.0609,,,2390.4751,3084.4079,21876.2762,
3,2,5,,,,21715.6211,,447.6529,5.605109999999999e-22,33131.0,-1964.9999,-1826.1584,-21213.5602,,-25460.0,17848.8662,-20231.2132,-574.3449,1964.9999
3,3,6,,,,5663.3245,-33233.0,-3505.2147,STABLE,27378.9456,4433.3246,-1493.7137,-27788.8441,-31123.0,-4288.1534,25112.1907,-26094.5377,-4527.2125,-1473.7583
3,4,7,-38374.53149,,,7251.0939,-12769.4481,-11166.0229,STABLE,12914.4184,9973.9616,-3098.34515,-34228.0,-11539.2472,-861.893,32563.2846,-34257.591,-12188.0207,-2467.6221
3,5,8,-13571.86512,,,2032.6182,-1975.7645,-10663.8784,0.83879,9283.712,12416.2941,-1950.5411,,-2894.5112,16004.1329,35507.8621,-35478.0,-11685.8762,-6100.2403
3,6,9,-6956.72912,,,4062.2175,12538.4192,-15980.9213,0.178,6094.8357,13943.7489,-227.70750000000044,,11941.9153,13606.4541,38758.0,,-17002.9191,-10362.4579
3,7,10,11968.31988,,,-26.4045,21002.017,-16144.5191,1.04811e-22,4035.813,15172.1698,-282.92239999999947,,13632.8587,20445.1411,,,-17166.5169,-11248.0128
3,8,11,13237.171879999998,,,395.6871,32060.5504,,0.00875,369.2826,15757.8592,-1681.8975,,20049.454,20551.0898,,,,-10832.0
3,9,12,20259.45388,,,-210.0,35640.1788,,,185.6871,,,,20761.0898,23931.8152,,,,
3,10,13,20661.08988,,,100.0,40418.9467,,5.69625e-17,-110.0001,,,,23831.8153,23321.8152,,,,
4,1,5,,,,,,25460.0,,,-4527.0,,25907.0,,,-7630.0,27425.0,24438.0022,
4,2,6,,,1670.0,26835.0,,4288.1534,4.19244e-17,,592.8241,,782.9387,,-28945.0,-1372.1758,-145.1712,3266.1556,
4,3,7,,,,10677.3542,,861.893,4605120,37512.0,5606.8539,-2978.6897,-10304.1299,-39622.0,-11907.5551,10040.1785,-9112.0686,-160.10479999999995,-1587.1371
4,4,8,-58520.96412,,3030.0,18898.644,-30122.5975,-16004.1329,2.538249e-15,29575.9983,17254.404,-3729.2137,-26668.0112,-30806.1992,-17979.8973,27228.3656,-28420.4269,-17026.1307,91.8399
4,5,9,-32470.73812,,,1664.5388,-17562.5203,-13606.4541,STABLE,20563.1828,16886.3247,-4170.3293,-29587.3755,-19644.4361,-1068.0349,29302.6187,-27550.203,-14628.4519,-2307.6989
4,6,10,-26456.71812,,3368.03,6812.2824,-3091.1864,-20445.1411,43725800311200,8476.8212,19636.3895,-2301.4922999999994,-36589.6601,-7880.3173,556.8759,33580.1385,-35617.3109,-21467.1389,-7409.5245
4,7,11,-8381.953119999998,,,501.6358,9527.7718,-20551.0898,13.77,7313.9182,20164.4299,-2204.0324500000006,,55.2401,11509.4607,35336.5997,-36308.9489,-21573.087600000003,-8320.8746
4,8,12,-3115.4861200000014,,2109.0,3170.7254,25077.7615,-23931.8152,0.02146,3672.3612,22939.4682,-2425.8534500000005,,8338.7353,11708.3636,38697.3273,,-24953.813,-8956.8373
4,9,13,8848.735880000004,,,-510.0,30534.0702,-23321.8152,2.05065e-16,2660.7254,22639.4682,-2675.2266,,12218.3636,17097.1315,,,-24343.813,-9701.6627
4,10,14,10442.46788,,,1775.8951,36934.6092,,0.0046500000000000005,1265.8951,24315.3634,-2896.296299999999,,15321.2364,16290.8166,,,,-11667.5601
4,11,15,17121.236880000008,,,-1800.0,39952.6754,,2.6430600000000003e-16,-24.1049,,,,18090.8166,20868.4411,,,,
4,12,16,17640.816880000002,,,450.0,43753.0055,,3.6456e-22,-1350.0001,,,,20418.4411,20335.4399,,,,
5,1,6,,,,,,28945.0,,,-2892.0,,33233.0,,,-7419.0,28352.0,27923.0022,
5,2,7,,,,27715.0,,11907.5551,3.650157e-16,,-2012.5479,-1160.41235,12769.4481,,,-1419.7238,6300.7013,10885.5573,-3415.0
5,3,8,,,,12826.3018,,17979.8973,0.7721,40541.0,136.3997,-1590.93995,1975.7645,,-12142.7002,5743.2536,725.4933,16957.8995,-4826.5368
5,4,9,,,,18576.4012,,1068.0349,2.46078e-13,31402.7031,-185.8431,-3904.30185,-12538.4192,-30719.1014,-16494.4854,17068.5609,-15818.2898,46.03710000000012,-1687.3169
5,5,10,-39156.29412,,,8437.1932,-26749.4168,-556.8759,STABLE,27013.5945,6586.8113,-3575.4620000000004,-21002.017,-24931.6787,-3648.0623,23473.136,-20193.2654,-1578.8737,-4461.1857
5,6,11,-36385.89912,,,11454.2206,-15697.9358,-11509.4607,STABLE,19891.4138,11228.7495,-1163.4367499999998,-32060.5504,-15102.2829,-1981.6889,30865.139,-31673.8905,-12531.4585,-8664.3124
5,7,12,-18471.91112,,,3369.6283,-3968.6702,-11708.3636,0.02022,14823.8489,14096.742,-54.54205000000002,-35640.1788,-5351.3172,13369.3979,34261.1718,-34647.8317,-12730.3614,-10001.3225
5,8,13,-10230.08512,,,4878.7679,11216.4669,-17097.1315,0.01716,8248.3962,15804.7845,-149.45614999999998,-40418.9467,8490.63,13436.9387,38744.2527,-39736.5997,-18119.1293,-10817.8729
5,9,14,7521.049880000002,,,969.5802,20800.2691,-16290.8166,0.01234,5848.3482,17284.3647,-580.7883500000007,,12467.3585,20643.7926,39923.8329,-40606.18,-17312.8144,-11813.8576
5,10,15,9689.73355,,,2777.6245,28855.9414,-20868.4411,0.01018,3747.2047,18286.0941,-665.1226500000002,,17866.1681,19084.2343,42601.4574,,-21890.4389,-14195.795
5,11,16,17949.169600000005,,,-83.0012,31427.7916,-20335.4399,4.557e-17,2694.6232,20003.0929,-1723.6615000000002,,19167.2355,23417.5656,,,-21357.4377,-14322.7938
5,12,17,17700.540879999997,,,1466.6951,35846.243,,0.005070000000000001,1383.6939,21019.788,-2609.916649999999,,21950.8705,22684.4422,,,,-15689.4889
5,13,18,21955.87088,,,-5.0,38679.4724,,,1461.6951,,,,22689.4423,26873.3742,,,,
5,14,19,22595.73488,,,93.7073,43913.9955,,0.00292,88.7073,,,,26779.6669,27356.4961,,,,
5,15,20,28339.66688,,,-1560.0,47635.0708,,2.2785e-16,-1466.2927,,,,28916.4961,31898.0019,,,,
5,16,21,29826.49688,,,-910.0,53150.9714,,2.7342e-16,-2470.0001,,,,32808.002,32740.0,,,,
6,2,8,,,,,,12142.7002,5.924100000000001e-17,,-98.7453,,30122.5975,,,-2111.2932,12006.3005,11120.7024,
6,3,9,,,,14224.616,,16494.4854,0.1265,,1299.5688,1216.2722999999996,17562.5203,,,1435.9685,16680.3285,15472.487600000002,-10653.0
6,4,10,,0.8245208442325224,3353.7,21283.6164,,3648.0623,19.3015,35508.2323,4006.784,-2507.26545,3091.1864,,-23101.3545,3820.9409,-2938.749,2626.0645,-5101.2767
6,5,11,,,,13120.594,-37089.5162,1981.6889,1220.406,34404.2103,8690.1847,-1337.0870999999995,-9527.7718,-36221.9485,-13716.2469,15276.996,-9247.0606,959.6911,-7544.5165
6,6,12,-54942.66312,0.5766011241025145,4439.82,18720.7151,-32013.3349,-13369.3979,STABLE,31841.3091,15956.6792,102.33475,-25077.7615,-32436.962,-17338.0681,27185.4287,-27466.1399,-14391.3957,-7366.5875
6,7,13,-37383.27079,,,4946.3087,-19990.4224,-13436.9387,STABLE,23667.0238,17533.3596,2144.83405,-30534.0702,-22284.3768,-2220.4718,31630.1016,-29241.7232,-14458.9365,-10648.3575
6,8,14,-30460.81084,0.3593844993388653,7012.0,8176.4341,-4987.8879,-20643.7926,179436513600,13122.7428,20831.0258,2892.4418,-36934.6092,-10396.9059,156.4765,36635.8103,-37928.1573,-21665.7904,-12012.5091
6,9,15,-11614.97212,,,1218.0662,7017.523,-19084.2343,2.451,9394.5003,21079.5118,1881.86815,-39952.6754,-1061.5897,9771.7071,38363.8765,-37370.3284,-20106.2321,-12728.9395
6,10,16,-5311.91995,,1766.0,4250.3301,18431.1354,-23417.5656,0.75,5468.3962,22552.2174,742.8334500000001,-43753.0055,5521.377,8010.226,40838.3114,-43420.6585,-24439.563400000003,-13808.5442
